SQL> set lines 500 pages 500
col constraint_name for a50
col table_name for a50
select constraint_name, table_name,status  from dba_constraints where owner='PSPADM' and constraint_type='R' SQL> SQL> SQL> ;

CONSTRAINT_NAME 				   TABLE_NAME					      STATUS
-------------------------------------------------- -------------------------------------------------- --------
PSP_CHECK_PRINT_BATCH_FK1			   PSP_CHECK_PRINT_BATCH			      ENABLED
PSP_CHECK_PRINT_BATCH_FK2			   PSP_CHECK_PRINT_BATCH			      ENABLED
PSP_VOIDED_CHECK_FK1				   PSP_VOIDED_CHECK				      ENABLED
PSP_ACHENROLLMENT_DETAIL_FK1			   PSP_ACHENROLLMENT_DETAIL			      ENABLED
PSP_ACHENROLLMENT_DETAIL_FK2			   PSP_ACHENROLLMENT_DETAIL			      ENABLED
PSP_ACHENROLLMENT_DETAIL_FK3			   PSP_ACHENROLLMENT_DETAIL			      ENABLED
PSP_FINANCIAL_TRANSACTION__FK1			   PSP_FINANCIAL_TXN_ACTION			      ENABLED
PSP_LEDGER_ACCOUNT_ACTION_FK1			   PSP_LEDGER_ACCOUNT_ACTION			      ENABLED
PSP_PAYROLL_RUN_ACTION_FK1			   PSP_PAYROLL_RUN_ACTION			      ENABLED
PSP_COMPANY_FK8 				   PSP_COMPANY					      ENABLED
PSP_COMPANY_FK3 				   PSP_COMPANY					      ENABLED
PSP_COMPANY_FK4 				   PSP_COMPANY					      ENABLED
PSP_INDIVIDUAL_FK1				   PSP_INDIVIDUAL				      ENABLED
PSP_INTUIT_SHIPPER_INFO_FK1			   PSP_INTUIT_SHIPPER_INFO			      ENABLED
PSP_PAYEE_FK2					   PSP_PAYEE					      ENABLED
PSP_PAYMENT_TEMPLATE_PRINT_FK1			   PSP_PMTTEMPLATE_PRINTEDCHKINFO		      ENABLED
PSP_REPORTING_AGENT_FK1 			   PSP_REPORTING_AGENT				      ENABLED
PSP_SOURCE_SYSTEM_PRINTED__FK1			   PSP_SOURCESYS_PRINTEDCHK_INFO		      ENABLED
PSP_ADE_LAW_MAP_FK2				   PSP_ADE_LAW_MAP				      ENABLED
PSP_AGENCY_RATE_REQUEST_FK1			   PSP_AGENCY_RATE_REQUEST			      ENABLED
PSP_COMPANY_AGENCY_FK1				   PSP_COMPANY_AGENCY				      ENABLED
PSP_FORM_TEMPLATE_FK1				   PSP_FORM_TEMPLATE				      ENABLED
PSP_PAYMENT_TEMPLATE_FK1			   PSP_PAYMENT_TEMPLATE 			      ENABLED
PSP_PAYMENT_BATCH_ASSOC_FK1			   PSP_PAYMENT_BATCH_ASSOC			      ENABLED
PSP_VOIDED_CHECK_FK3				   PSP_VOIDED_CHECK				      ENABLED
PSP_COMPANY_RATE_REQUEST_FK1			   PSP_COMPANY_RATE_REQUEST			      ENABLED
PSP_ANNUALBILLINGITEM_FK1			   PSP_ANNUAL_BILLING_ITEM			      ENABLED
PSP_COMPANY_FK7 				   PSP_COMPANY					      ENABLED
PSP_ASSTBUNDLEBILLDETAIL_FK1			   PSP_ASST_BUNDLE_BILL_DETAIL			      ENABLED
PSP_ASSISTEDBUNDLEBILL_FK1			   PSP_ASSISTED_BUNDLE_BILL			      ENABLED
PSP_ATFDATA_EXTRACT_FILE_FK1			   PSP_ATFDATA_EXTRACT_FILE			      ENABLED
PSP_AUTH_ROLE_FK1				   PSP_AUTH_ROLE				      ENABLED
PSP_AUTHROLE_OPT_FK_OPT 			   PSP_AUTHROLE_OPERATION_ASSOC 		      ENABLED
PSP_ROLE_OPERATION_FK_ROLE			   PSP_AUTHROLE_OPERATION_ASSOC 		      ENABLED
PSP_USERROLE_FK_ROLE				   PSP_AUTH_USER_AUTH_ROLE__ASSOC		      ENABLED
PSP_ROLE_SUB_STATUS_FK1 			   PSP_ROLE_SUB_STATUS				      ENABLED
PSP_USERROLE_FK_USER				   PSP_AUTH_USER_AUTH_ROLE__ASSOC		      ENABLED
PSP_USERSETTING_FK1				   PSP_USER_SETTING				      ENABLED
PSP_FINANCIAL_TRANSACTION_FK3			   PSP_FINANCIAL_TRANSACTION			      ENABLED
PSP_FINANCIAL_TRANSACTION_FK2			   PSP_FINANCIAL_TRANSACTION			      ENABLED
PSP_COMPANY_BANK_ACCOUNT_FK1			   PSP_COMPANY_BANK_ACCOUNT			      ENABLED
PSP_EMPLOYEE_BANK_ACCOUNT_FK1			   PSP_EMPLOYEE_BANK_ACCOUNT			      ENABLED
PSP_INTUIT_BANK_ACCOUNT_FK1			   PSP_INTUIT_BANK_ACCOUNT			      ENABLED
PSP_PAYEE_BANK_ACCOUNT_FK2			   PSP_PAYEE_BANK_ACCOUNT			      ENABLED
PSP_PAYMENT_TEMPLATE_BANK__FK2			   PSP_PMT_TEMPLATE_BANKACCOUNT 		      ENABLED
PSP_BATCH_JOB_PARAMETER_FK1			   PSP_BATCH_JOB_PARAMETER			      ENABLED
PSP_PAYCHECKUSAGE_FK1				   PSP_PAYCHECK_USAGE				      ENABLED
PSP_FINANCIALTRANSACTION_FK1			   PSP_FINANCIAL_TRANSACTION			      ENABLED
PSP_LIABILITY_CHECK_BILLIN_FK1			   PSP_LIAB_CHECK_BILLING_ASSOC 		      ENABLED
PSP_BILL_PAYMENT_SPLIT_FK1			   PSP_BILL_PAYMENT_SPLIT			      ENABLED
PSP_FINANCIAL_TRANSACTION_FK13			   PSP_FINANCIAL_TRANSACTION			      ENABLED
PSP_AGENCY_CHECK_BATCH_FK1			   PSP_AGENCY_CHECK_BATCH			      ENABLED
PSP_COMPANY_PAYCHECK_BATCH_FK1			   PSP_COMPANY_PAYCHECK_BATCH			      ENABLED
PSP_ANNUALBILLINGITEM_FK2			   PSP_ANNUAL_BILLING_ITEM			      ENABLED
PSP_ATFPAYMENTS_TO_PROCESS_FK3			   PSP_ATFPAYMENTS_TO_PROCESS			      ENABLED
PSP_FINANCIAL_TRANSACTION_FK4			   PSP_FINANCIAL_TRANSACTION			      ENABLED
PSP_COMPANY_EVENT_FK1				   PSP_COMPANY_EVENT				      ENABLED
PSP_COMPANY_EVENT_DETAIL_FK2			   PSP_COMPANY_EVENT_DETAIL			      ENABLED
PSP_COMPANY_EVENT_EMAIL_PA_FK2			   PSP_COMPANY_EVENT_EMAIL_PARAM		      ENABLED
PSP_COMPENSATION_FK4				   PSP_COMPENSATION				      ENABLED
PSP_ENTRY_DETAIL_RECORD_FK4			   PSP_ENTRY_DETAIL_RECORD			      ENABLED
