Healthcheck for ppdspg02
Generated at 2026-01-07 04:31:20
================================================================================

## Total Connections

Username | Machine Name | Application Name | Total Connections Count
--------------------------------------------------------------------
pspapp | None | psp-adapter-deployment-9758b795c-r28qh | 25
pspapp | None | psp-adapter-deployment-9758b795c-lp6sl | 25
pspapp | None | psp-qbdt-deployment-84784b89c9-lm9mp | 15
pspapp | None |  | 15
pspapp | None | psp-qbdt-deployment-84784b89c9-qzqzc | 15
pspread | None |  | 11
pspapp | None | psp-sap-deployment-db5798b84-vdlq7 | 10
data_capture_role | None | PostgreSQL JDBC Driver | 10
pspapp | None | psp-sap-deployment-db5798b84-jlbkr | 10
None | None |  | 6
psp_payroll_dm | None | payroll-dm-appd-deployment-7cdc49b48d-fqdqf | 5
pspapp | None | pubsubpsp-appd-rollout-79f44b6f55-lgbz7 | 5
pspapp | None | pubsubpsp-appd-rollout-79f44b6f55-khhkq | 5
psprjf | None | report-job-svc-appd-rollout-645db68fcc-ns6x9 | 5
pspapp | None | psp-appd-deployment-8686855d65-klsnd | 5
pspbatch_rw_user | None | psp-jss-normal-deployment-68c75b7675-vj7bg | 5
psprjf | None | report-job-svc-appd-rollout-645db68fcc-xc57d | 5
pspbatch_rw_user | None | psp-jss-monitor-deployment-76699b774d-q252c | 5
psp_payroll_dm | None | payroll-dm-appd-deployment-7cdc49b48d-f47hb | 5
pspbatch_rw_user | None | psp-jss-high-deployment-c49c596bd-njg4l | 5
pspbatch_rw_user | None | psp-jss-normal-deployment-68c75b7675-ffgjm | 5
pspbatch_rw_user | None | psp-jss-high-deployment-c49c596bd-6t5zm | 5
pspbatch_rw_user | None | psp-jss-monitor-deployment-76699b774d-zdp97 | 5
rdsadmin | None | PostgreSQL JDBC Driver | 3
pspread | None | desktop-pay-api-appd-rollout-cf945f59f-79h24 | 2
data_capture_role | None | Debezium General | 2
rdsadmin | None |  | 2
datalake | None | Debezium General | 2
pspread | None | desktop-pay-api-appd-rollout-cf945f59f-2hpkj | 1
data_capture_role | None | Debezium Streaming | 1
datalake | None | Debezium Streaming | 1
postgres | None |  | 1
pspread | None | desktop-pay-api-appd-rollout-cf945f59f-dddsq | 1
rdsadmin | None | pg_cron scheduler | 1

## Active Sessions

Username | Machine Name | Application Name | Active Sessions Count
------------------------------------------------------------------
data_capture_role | None | Debezium Streaming | 1
datalake | None | Debezium Streaming | 1
postgres | None |  | 1

## Long-Running Queries

PID | Duration | Query
----------------------
17553 | 12:43:31.295388 | START_REPLICATION SLOT "data_capture_outbox_slot_e2e" LOGICAL 26D/31352A98 ("proto_version" '1', "publication_names" 'data_capture_outbox_publication_e2e', "messages" 'true')
5490 | 19 days, 20:44:04.722246 | START_REPLICATION SLOT "pspapg_s1_ingestion" LOGICAL 267/929AC1A8 ("proto_version" '1', "publication_names" 'dbz_publication', "messages" 'true')

## Database Size

Database Size: 1188 GB

## Top 10 Largest Tables (Total Size)

Table Name | Total Size | Data Size | Index Size
------------------------------------------------
psp_tax_payment_on_hold_reason | 44 GB | 24 GB | 20 GB
psp_company | 22 GB | 20 GB | 2843 MB
psp_company_event_detail_p0 | 20 GB | 10 GB | 10 GB
psp_company_event_detail_p4 | 20 GB | 10 GB | 10089 MB
psp_company_event_detail_p6 | 20 GB | 10 GB | 10079 MB
psp_company_event_detail_p3 | 20 GB | 10 GB | 10079 MB
psp_company_event_detail_p5 | 20 GB | 10 GB | 10021 MB
psp_company_event_detail_p7 | 20 GB | 10 GB | 10027 MB
psp_company_event_detail_p2 | 20 GB | 10 GB | 9973 MB
psp_property_audit_p6 | 20 GB | 13 GB | 7363 MB

## Unused and Invalid Indexes

Table | Index | Status | Validity
---------------------------------
as400_dropme | as400_dropme_idx1 | Unused | Valid
asset_details | asset_details_pkey | Unused | Valid
awsdms_ddl_audit | awsdms_ddl_audit_pkey | Unused | Valid
awsdms_ddl_audit | awsdms_ddl_audit_pkey | Unused | Valid
awsdms_history | awsdms_history_task_history_index | Unused | Valid
awsdms_status | awsdms_status_task_status_index | Unused | Valid
awsdms_suspended_tables | awsdms_suspended_tables_task_suspended_tables_index | Unused | Valid
checkpoint | checkpoint_pkey | Unused | Valid
checkpoint_lox | checkpoint_lox_pkey | Unused | Valid
custom_time_partitions | custom_time_partitions_partition_range_idx | Unused | Valid
custom_time_partitions | custom_time_partitions_pkey | Unused | Valid
gg_heartbeat | gg_heartbeat_pkey | Unused | Valid
hints | hints_norm_and_app | Unused | Valid
hints | hints_pkey | Unused | Valid
index_statistics | index_statistics_pkey | Unused | Valid
oos_metadata | idx_tab_name | Unused | Valid
outbox_heartbeat | outbox_heartbeat_pkey | Unused | Valid
part_config | part_config_parent_table_pkey | Unused | Valid
part_config | part_config_type_idx | Unused | Valid
part_config_sub | part_config_sub_pkey | Unused | Valid
partition_statistics | partition_statistics_pkey | Unused | Valid
pg_aggregate | pg_aggregate_fnoid_index | Unused | Valid
pg_am | pg_am_name_index | Unused | Valid
pg_am | pg_am_oid_index | Unused | Valid
pg_amop | pg_amop_fam_strat_index | Unused | Valid
pg_amop | pg_amop_oid_index | Unused | Valid
pg_amop | pg_amop_opr_fam_index | Unused | Valid
pg_amproc | pg_amproc_fam_proc_index | Unused | Valid
pg_amproc | pg_amproc_oid_index | Unused | Valid
pg_attrdef | pg_attrdef_adrelid_adnum_index | Unused | Valid
