Healthcheck for psyspg01
Generated at 2025-07-04 07:20:19
================================================================================

## Total Connections

Username | Machine Name | Application Name | Total Connections Count
--------------------------------------------------------------------
sys_drc_app | None | PostgreSQL JDBC Driver | 30
pspapp | None | psp-adapter-deployment-778975b979-cxjvp | 25
pspapp | None | psp-qbdt-deployment-555cf59c4d-rnf84 | 15
pspapp | None | psp-sap-deployment-7764cf8f66-86hx5 | 10
data_capture_role | None | PostgreSQL JDBC Driver | 10
None | None |  | 6
pspapp | None | desktop-pay-api-appd-rollout-69f9b57d99-k5fms | 5
pspbatch_rw_user | None | psp-jss-normal-deployment-7bc8948dbd-rvrz8 | 5
pspapp | None | psp-appd-deployment-8667dbf5d8-v2x8r | 5
pspbatch_rw_user | None | psp-jss-high-deployment-695c77f5c-pwnck | 5
pspbatch_rw_user | None | psp-jss-monitor-deployment-5b6495545c-ltj7w | 5
rdsadmin | None | PostgreSQL JDBC Driver | 3
rdsadmin | None |  | 2
data_capture_role | None | Debezium Streaming | 1
postgres | None |  | 1
rdsadmin | None | pg_cron scheduler | 1
data_capture_role | None | Debezium General | 1

## Active Sessions

Username | Machine Name | Application Name | Active Sessions Count
------------------------------------------------------------------
data_capture_role | None | Debezium Streaming | 1
postgres | None |  | 1

## Long-Running Queries

PID | Duration | Query
----------------------
7373 | 1:04:31.636661 | START_REPLICATION SLOT "data_capture_outbox_slot_qal" LOGICAL 51/5137EA28 ("proto_version" '1', "publication_names" 'data_capture_outbox_publication_qal', "messages" 'true')

## Database Size

Database Size: 6123 MB

## Top 10 Largest Tables (Total Size)

Table Name | Total Size | Data Size | Index Size
------------------------------------------------
psp_entity_publish_bkp_feb28_2025 | 1471 MB | 1471 MB | 0 bytes
psp_outbox_bkp_feb28_2025 | 265 MB | 265 MB | 0 bytes
psp_company_event_detail_p6 | 185 MB | 102 MB | 84 MB
psp_company_event_detail_p7 | 178 MB | 98 MB | 81 MB
psp_company_event_detail_p3 | 178 MB | 98 MB | 80 MB
psp_company_event_detail_p4 | 175 MB | 96 MB | 79 MB
psp_company_event_detail_p2 | 174 MB | 95 MB | 79 MB
psp_company_event_detail_p0 | 172 MB | 94 MB | 78 MB
psp_nachafile | 171 MB | 159 MB | 12 MB
psp_company_event_detail_p5 | 170 MB | 93 MB | 77 MB

## Unused and Invalid Indexes

Table | Index | Status | Validity
---------------------------------
as400_dropme | as400_dropme_idx1 | Unused | Valid
custom_time_partitions | custom_time_partitions_partition_range_idx | Unused | Valid
custom_time_partitions | custom_time_partitions_pkey | Unused | Valid
gg_heartbeat | gg_heartbeat_pkey | Unused | Valid
outbox_heartbeat | outbox_heartbeat_pkey | Unused | Valid
part_config | part_config_type_idx | Unused | Valid
pg_aggregate | pg_aggregate_fnoid_index | Unused | Valid
pg_am | pg_am_name_index | Unused | Valid
pg_am | pg_am_oid_index | Unused | Valid
pg_amop | pg_amop_fam_strat_index | Unused | Valid
pg_amop | pg_amop_oid_index | Unused | Valid
pg_amop | pg_amop_opr_fam_index | Unused | Valid
pg_amproc | pg_amproc_fam_proc_index | Unused | Valid
pg_amproc | pg_amproc_oid_index | Unused | Valid
pg_attrdef | pg_attrdef_adrelid_adnum_index | Unused | Valid
pg_attrdef | pg_attrdef_oid_index | Unused | Valid
pg_attribute | pg_attribute_relid_attnam_index | Unused | Valid
pg_attribute | pg_attribute_relid_attnum_index | Unused | Valid
pg_auth_members | pg_auth_members_member_role_index | Unused | Valid
pg_auth_members | pg_auth_members_role_member_index | Unused | Valid
pg_authid | pg_authid_oid_index | Unused | Valid
pg_authid | pg_authid_rolname_index | Unused | Valid
pg_cast | pg_cast_oid_index | Unused | Valid
pg_cast | pg_cast_source_target_index | Unused | Valid
pg_class | pg_class_oid_index | Unused | Valid
pg_class | pg_class_relname_nsp_index | Unused | Valid
pg_class | pg_class_tblspc_relfilenode_index | Unused | Valid
pg_collation | pg_collation_name_enc_nsp_index | Unused | Valid
pg_collation | pg_collation_oid_index | Unused | Valid
pg_constraint | pg_constraint_conname_nsp_index | Unused | Valid
pg_constraint | pg_constraint_conparentid_index | Unused | Valid
pg_constraint | pg_constraint_conrelid_contypid_conname_index | Unused | Valid
pg_constraint | pg_constraint_contypid_index | Unused | Valid
pg_constraint | pg_constraint_oid_index | Unused | Valid
pg_conversion | pg_conversion_default_index | Unused | Valid
pg_conversion | pg_conversion_name_nsp_index | Unused | Valid
pg_conversion | pg_conversion_oid_index | Unused | Valid
pg_database | pg_database_datname_index | Unused | Valid
pg_database | pg_database_oid_index | Unused | Valid
pg_db_role_setting | pg_db_role_setting_databaseid_rol_index | Unused | Valid
pg_default_acl | pg_default_acl_oid_index | Unused | Valid
pg_default_acl | pg_default_acl_role_nsp_obj_index | Unused | Valid
pg_depend | pg_depend_depender_index | Unused | Valid
pg_depend | pg_depend_reference_index | Unused | Valid
pg_description | pg_description_o_c_o_index | Unused | Valid
pg_enum | pg_enum_oid_index | Unused | Valid
pg_enum | pg_enum_typid_label_index | Unused | Valid
pg_enum | pg_enum_typid_sortorder_index | Unused | Valid
