\set ECHO none
Expanded display is on.
-[ RECORD 1 ]-------+---------------------------------------------------------------
slot_name           | likmro2tn5g77eeb_00016401_335a9a51_d29c_4afb_8757_bbe4e6b33e9d
plugin              | test_decoding
slot_type           | logical
datoid              | 16401
database            | ppdspg02
temporary           | f
active              | f
active_pid          | 
xmin                | 
catalog_xmin        | 399933648
restart_lsn         | 26F/7A1FFAC8
confirmed_flush_lsn | 26F/7A20CB30
wal_status          | extended
safe_wal_size       | 
two_phase           | f
-[ RECORD 2 ]-------+---------------------------------------------------------------
slot_name           | zzmd4qdfyzczvon7_00016401_b28cc827_3f7a_4c35_88d0_ba444b004501
plugin              | test_decoding
slot_type           | logical
datoid              | 16401
database            | ppdspg02
temporary           | f
active              | f
active_pid          | 
xmin                | 
catalog_xmin        | 399933789
restart_lsn         | 26F/7A20D090
confirmed_flush_lsn | 26F/7A20D140
wal_status          | extended
safe_wal_size       | 
two_phase           | f
-[ RECORD 3 ]-------+---------------------------------------------------------------
slot_name           | g2op27vtejf6xpm5_00016401_d484b065_0f51_425c_9e8f_85a41374a2cb
plugin              | test_decoding
slot_type           | logical
datoid              | 16401
database            | ppdspg02
temporary           | f
active              | f
active_pid          | 
xmin                | 
catalog_xmin        | 399933789
restart_lsn         | 26F/7A20D090
confirmed_flush_lsn | 26F/7A20D140
wal_status          | extended
safe_wal_size       | 
two_phase           | f

