com.intuit.sbd.payroll.psp.adapters.sap.adapter.UserAdapter,searchUsersInDomain
,removeUser
,getAllRoleObjects
,getAllRoles
,updateUserData
,getUsersInDomain
,getAllOperations
,addNewUserData
com.intuit.sbd.payroll.psp.adapters.sap.adapter.AccountingAdapter,createBookTransfer
,getIntuitAccountsDescription
,findBookTransferTransactions
,cancelBookTransfer
com.intuit.sbd.payroll.psp.adapters.sap.adapter.ViewMyPaycheckAdapter,removeConsumerId
,getEmployeesInfo
,getPaystubDetails
,findPaystubs
,getEmployeeInfo
,findVMPEmployeeCount
,findVMPEmployee
com.intuit.sbd.payroll.psp.adapters.sap.adapter.ReportAdapter,getReportList
com.intuit.sbd.payroll.psp.adapters.sap.adapter.CompanyAdapter,getCompanySignatureImage
,addCompanyStrike
,addBankAccount
,addServiceToCompany
,findBankAccounts
,updateTaxExemptStatus
,deleteVMPData
,setAssistedPriceTypeAndOffer
,reactivateEntitlementUnit
,addEntitlementUnitToCompany
,saveCompanyService
,removeInvalidFlagOnEmailAddresses
,getCompanyOffers
,reCalculateLedgerBalances
,uploadSignatureFile
,updateCompanyFundingModel
,findCompanyFraudEvents
,reinitiateRandomDebit
,switchAllowTransmissions
,deactivateEntitlementUnit
,addCompany
,cancelCompanyStrike
,getFeeOfferingServiceChargePrices
,switchDebugLogging
,editBankAccount
,resetVerifyAttempts
,verifyCompanyBankAccount
,updateCompanyLegalInfo
,findAgencyPrintingBatches
,updateQuickbooksInfo
,updateSubscriptionEndDate
,switchProcessTransmissions
,updateCompanyContacts
,getAdditionalAddresses
,moveEntitlementUnit
,generateRandomPin
,unlockCompany
,getAdditionalContacts
,removeFraudFlag
,adjustCompanyTokens
,updateEntityChange
,addCheckPrintTestBatch
,savePrintBatchStatus
,findCheckPrintingBatches
com.intuit.sbd.payroll.psp.adapters.sap.adapter.TaxAdapter,updateInitiationDates
,removePaymentOnHoldReason
,getLawFlagHistory
,findPaymentDetailTransactions
,initiateACHFileCreation
,initiateRepayment
,getSupportedPaymentTemplates
,getPaymentTemplateQuarters
,rejectRAFEnrollment
,updatedDataSyncTokensOnSelectedItems
,unFinalizePayment
,rejectPayment
,deleteACHEnrollment
,addTaxPaymentAgentOnHoldReason
,updateAgentEnabled
,finalizePayment
,enrollAllRAFEnrollments
,updateACHEnrollmentAsEnrolled
,checkAgencyIDs
,createCourtesyRefund
,findRefundTransactions
,reInitiateRAFTapeCreation
,findCompanyAgencies
,getEFTPSEnrollmentRejections
,getDepositFrequencyHistory
,getAllDepositFrequencies
,updateDepositFrequencies
,hasNonNumericSourceIds
,initiateRAFTapeCreation
,updateRAFEnrollmentStatus
,getACHEnrollmentsHistory
,findCourtesyRefundTransactions
,getFirstTaxYear
,getCompanyLawRatesHistory
,findACHEnrollments
,updateFilerType
,editCompanyLawAgencyId
,updateGroupPaymentMethods
,updateDataSyncTokens
,createPenaltiesAndInterestRefunds
,findTaxPayments
,updatePaymentMethod
,findAllEditableRates
,getPaymentTemplateYears
,getCompanyFilingAmountHistory
,updatePayDate
,getDataSyncDetails
,getMoneyMovementTransactionsForVerification
,getPaymentTemplateQuarterPayment
,getManualLedgerLines
,cancelDeleteRAFEnrollment
,getAllLawFlags
,getSupportedPaymentTemplatesForCompany
,updateAdditionalFilingAmounts
,findAgencyIDs
,editPaymentAmount
,getFilerType
,findEditableQuarterRates
,getAgencyIdHistory
,getFilerTypeHistory
,createTORTransactions
,cancelDeleteACHEnrollment
,getDefaultDepositFrequency
,updateAgencyIDs
,createManualLedgerEntry
,reInitiateRAFEnrollment
,initiateReEnrollment
,updateRates
,findCompanyTaxYears
,findEditableAdditionalFilingAmounts
,finalizePayments
,updateLawFlags
,reInitiateACHEnrollment
,getAgencyInfoArray
,getCompanyAgencyHistory
,deleteRAFEnrollment
,getAdditionalAgencyIdsHistory
,createRefundDebit
,createManualEFTPSEnrollment
,findTaxTransactions
,getTemplateYearPayment
,updateErFicaDeferral
,getAgencyTaxRefundBreakdown
,uploadACHResponseFile
,updateAllRates
com.intuit.sbd.payroll.psp.adapters.sap.adapter.RTBAdapter,executeMassCancellation
,getRTBJobList
,decryptText
,getProcessMassCanFileList
,uploadAndExecuteRTBJob
,getAutoMassCanFlag
com.intuit.sbd.payroll.psp.adapters.sap.adapter.PayrollRunAdapter,findLedgerAccountByPayrollAndLedgerCode
,refundEmployerTransaction
,refundERPayable
,addWriteOffBadDebtTransaction
,voidPayrollTaxPayment
,reversePayrollRunTransactions
,addWireExpectedDateTransaction
,addFeeTransactions
,findPayrollUncollectedBalances
,addIntuit5DayReturnTransfer
,getLineItems
,addFeeTransferTransaction
,checkPayrollForSuspectPaychecks
,addWriteOffEmployeeBadDebtTransaction
,cancelBillPaymentTransaction
,findTransactionsByLedgerAccountAndPayroll
,findReversableEmployeeTransactions
,addRecoverBadDebtTransactions
,addEmployeeReturnRefundTransaction
,findPayrollCollectedTransactions
,cancelPayrollTransaction
,reissuePayrollTaxPayment
,addEscalation
,addRefundRebillTransaction
,addFinancialLedgerAdjustmentTransaction
,findPayrollUnrecoveredBalances
,findTransactionsByLedgerAccount
,findCancelableTransactions
,getLedgerAccountBalanceForLaw
,addEmployerReturnRefundTransaction
,getRedebitTransactionsForPayroll
,addRefundPayrollTransactions
,findLedgerAccountsByPayroll
,findLedgerAccounts
,getTransactionHistory
,addEmployeeReturnTransferTransaction
,redebitPayrollTransactions
,cancelAdjustment
,voidTransaction
,findPayrollPrefundingTransactions
,addRefundTransaction
