
Import: Release 12.1.0.2.0 - Production on Sun Mar 26 01:05:29 2023

Copyright (c) 1982, 2014, Oracle and/or its affiliates.  All rights reserved.

Connected to: Oracle Database 19c Enterprise Edition Release 19.0.0.0.0 - Production
Master table "INTUADMIN"."SYS_IMPORT_TABLE_01" successfully loaded/unloaded
Starting "INTUADMIN"."SYS_IMPORT_TABLE_01":  userid=intuadmin/********@psphpp01 dumpfile=DATA_PUMP_DIR:exp_data_%U.dmp,DATA_PUMP_DIR1:exp_data1_%U.dmp,DATA_PUMP_DIR2:exp_data2_%U.dmp,DATA_PUMP_DIR3:exp_data3_%U.dmp parallel=16 TABLES=PSPADM.PSP_FINANCIAL_TRANS_STATE,PSPADM.PSP_PSTUB_PAY_ITEM content=data_only logfile=DATA_PUMP_DIR:imp_psp_tables1.log 
Processing object type SCHEMA_EXPORT/TABLE/TABLE_DATA
. . imported "PSPADM"."PSP_PSTUB_PAY_ITEM"               1016. GB 4619321821 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M042023"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M052023"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062023"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M072023"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M082023"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M092023"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M102023"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M112023"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M122023"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M012024"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M022024"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M032024"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M042024"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M052024"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062024"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M072024"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M082024"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M092024"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M102024"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M112024"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M122024"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_9999"      0 KB       0 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062022"  9.145 GB 44557139 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M082022"  9.142 GB 44651365 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M122021"  9.120 GB 44421611 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M032022"  9.047 GB 44097337 rows
. . imported "PSPADM"."PSP_FINANCIAL_TRANS_STATE":"FINANCIAL_TXN_STATE_M062021"  8.748 GB 42733017 rows
