Healthcheck for pdsibobdb
Generated at 2026-02-19 09:42:14
================================================================================

## Total Connections

Username | Machine Name | Application Name | Total Connections Count
--------------------------------------------------------------------
ibob_pds_pspapp | None | psp-adapter-deployment-79cb9f4555-48dn7 | 25
ibob_pds_pspapp | None | psp-adapter-deployment-79cb9f4555-cdmkv | 25
ibob_pds_pspapp | None | psp-qbdt-deployment-869d96b595-srpd2 | 14
ibob_pds_pspapp | None | psp-qbdt-deployment-869d96b595-nzmjs | 13
ibob_pds_pspapp | None | psp-sap-deployment-77b797dfc8-kmxg5 | 10
ibob_pds_pspapp | None | psp-sap-deployment-77b797dfc8-skjc8 | 10
None | None |  | 6
ibob_pds_pspapp | None | psp-jss-high-deployment-7d5dfd77b6-t7cb8 | 5
ibob_pds_pspapp | None | psp-appd-deployment-7bbb455c4f-2rg4d | 5
ibob_pds_pspapp | None | psp-jss-monitor-deployment-74874bfb4d-76k9k | 5
ibob_pds_pspapp | None |  | 5
ibob_pds_pspapp | None | psp-jss-normal-deployment-66765cf974-4tlw7 | 5
ibob_pds_pspapp | None | psp-jss-monitor-deployment-74874bfb4d-vhhhh | 5
ibob_pds_pspapp | None | psp-jss-high-deployment-7d5dfd77b6-jqd7m | 5
ibob_pds_pspapp | None | psp-appd-deployment-7bbb455c4f-769f6 | 5
ibob_pds_pspapp | None | psp-jss-normal-deployment-66765cf974-lp72d | 3
rdsadmin | None | PostgreSQL JDBC Driver | 3
rdsadmin | None |  | 2
rdsadmin | None | pglogical supervisor | 1
postgres | None |  | 1
rdsadmin | None | pg_cron scheduler | 1

## Active Sessions

Username | Machine Name | Application Name | Active Sessions Count
------------------------------------------------------------------
postgres | None |  | 1

## Long-Running Queries

No long-running queries found.

## Database Size

Database Size: 185 GB

## Top 10 Largest Tables (Total Size)

Table Name | Total Size | Data Size | Index Size
------------------------------------------------
psp_source_system_transmission | 182 GB | 155 GB | 27 GB
psp_sap_method_call | 2195 MB | 1532 MB | 663 MB
host_stat_hist | 75 MB | 65 MB | 9664 kB
pg_stat_activity_sample_p2022_08_21 | 14 MB | 13 MB | 656 kB
psp_qbdt_request_info | 10096 kB | 7112 kB | 2984 kB
spatial_ref_sys | 7280 kB | 6976 kB | 304 kB
psp_hcm401k_employee_deduction | 6312 kB | 4264 kB | 2048 kB
dba_plans_hist_p2022_08_21 | 6096 kB | 5888 kB | 208 kB
pg_stat_statements_hist_p2022_08_21 | 4768 kB | 3904 kB | 864 kB
psp_hcm401k_company_policy | 3768 kB | 2616 kB | 1152 kB

## Unused and Invalid Indexes

Table | Index | Status | Validity
---------------------------------
awsdms_ddl_audit | awsdms_ddl_audit_pkey | Unused | Valid
awsdms_ddl_audit | awsdms_ddl_audit_pkey | Unused | Valid
awsdms_history | awsdms_history_task_history_index | Unused | Valid
awsdms_loopback_prevention | awsdms_loopback_prevention_pkey | Unused | Valid
awsdms_status | awsdms_status_task_status_index | Unused | Valid
awsdms_suspended_tables | awsdms_suspended_tables_task_suspended_tables_index | Unused | Valid
charset_mapping | charset_couple | Unused | Valid
charset_mapping | charset_id | Unused | Valid
context | pk_context | Unused | Valid
custom_time_partitions | custom_time_partitions_partition_range_idx | Unused | Valid
custom_time_partitions | custom_time_partitions_pkey | Unused | Valid
directory | pk_aws_directory | Unused | Valid
format_models | format_models_pk | Unused | Valid
gg_heartbeat | gg_heartbeat_pkey | Unused | Valid
host_stat_hist | host_stat_hist_snap_id | Unused | Valid
host_stat_hist | host_stat_hist_snap_time | Unused | Valid
iso_currency_list | iso_cur_code_pk | Unused | Valid
iso_currency_list | nls_iso_currency_uk | Unused | Valid
jobs | i_jobs_this_date | Unused | Valid
jobs | p_jobs | Unused | Valid
loopback_test | loopback_test_pkey | Unused | Valid
mail_messages | i_mail_messages_new | Unused | Valid
mail_messages | p_mail_messages | Unused | Valid
mapped_error_codes | p_mapped_error_codes | Unused | Valid
nls_parameters | aoe_nls_parameters_pk | Unused | Valid
nls_parameters | aoe_nls_territory_ux_idx | Unused | Valid
nls_parameters | aoe_nls_territory_win_idx | Unused | Valid
params | pk_params | Unused | Valid
part_config | part_config_parent_table_pkey | Unused | Valid
part_config | part_config_type_idx | Unused | Valid
part_config_sub | part_config_sub_pkey | Unused | Valid
pg_aggregate | pg_aggregate_fnoid_index | Unused | Valid
pg_am | pg_am_name_index | Unused | Valid
pg_am | pg_am_oid_index | Unused | Valid
pg_amop | pg_amop_fam_strat_index | Unused | Valid
pg_amop | pg_amop_oid_index | Unused | Valid
pg_amop | pg_amop_opr_fam_index | Unused | Valid
pg_amproc | pg_amproc_fam_proc_index | Unused | Valid
pg_amproc | pg_amproc_oid_index | Unused | Valid
pg_attrdef | pg_attrdef_adrelid_adnum_index | Unused | Valid
pg_attrdef | pg_attrdef_oid_index | Unused | Valid
pg_attribute | pg_attribute_relid_attnam_index | Unused | Valid
pg_attribute | pg_attribute_relid_attnum_index | Unused | Valid
pg_auth_members | pg_auth_members_member_role_index | Unused | Valid
pg_auth_members | pg_auth_members_role_member_index | Unused | Valid
pg_authid | pg_authid_oid_index | Unused | Valid
pg_authid | pg_authid_rolname_index | Unused | Valid
pg_cast | pg_cast_oid_index | Unused | Valid
pg_cast | pg_cast_source_target_index | Unused | Valid
pg_class | pg_class_oid_index | Unused | Valid
pg_class | pg_class_relname_nsp_index | Unused | Valid
pg_class | pg_class_tblspc_relfilenode_index | Unused | Valid
pg_collation | pg_collation_name_enc_nsp_index | Unused | Valid
pg_collation | pg_collation_oid_index | Unused | Valid
pg_constraint | pg_constraint_conname_nsp_index | Unused | Valid
pg_constraint | pg_constraint_conparentid_index | Unused | Valid
pg_constraint | pg_constraint_conrelid_contypid_conname_index | Unused | Valid
pg_constraint | pg_constraint_contypid_index | Unused | Valid
pg_constraint | pg_constraint_oid_index | Unused | Valid
pg_conversion | pg_conversion_default_index | Unused | Valid
pg_conversion | pg_conversion_name_nsp_index | Unused | Valid
pg_conversion | pg_conversion_oid_index | Unused | Valid
pg_database | pg_database_datname_index | Unused | Valid
pg_database | pg_database_oid_index | Unused | Valid
pg_db_role_setting | pg_db_role_setting_databaseid_rol_index | Unused | Valid
pg_default_acl | pg_default_acl_oid_index | Unused | Valid
pg_default_acl | pg_default_acl_role_nsp_obj_index | Unused | Valid
pg_depend | pg_depend_depender_index | Unused | Valid
pg_depend | pg_depend_reference_index | Unused | Valid
pg_description | pg_description_o_c_o_index | Unused | Valid
pg_enum | pg_enum_oid_index | Unused | Valid
pg_enum | pg_enum_typid_label_index | Unused | Valid
pg_enum | pg_enum_typid_sortorder_index | Unused | Valid
pg_event_trigger | pg_event_trigger_evtname_index | Unused | Valid
pg_event_trigger | pg_event_trigger_oid_index | Unused | Valid
pg_extension | pg_extension_name_index | Unused | Valid
pg_extension | pg_extension_oid_index | Unused | Valid
pg_foreign_data_wrapper | pg_foreign_data_wrapper_name_index | Unused | Valid
pg_foreign_data_wrapper | pg_foreign_data_wrapper_oid_index | Unused | Valid
pg_foreign_server | pg_foreign_server_name_index | Unused | Valid
pg_foreign_server | pg_foreign_server_oid_index | Unused | Valid
pg_foreign_table | pg_foreign_table_relid_index | Unused | Valid
pg_index | pg_index_indexrelid_index | Unused | Valid
pg_index | pg_index_indrelid_index | Unused | Valid
pg_inherits | pg_inherits_parent_index | Unused | Valid
pg_inherits | pg_inherits_relid_seqno_index | Unused | Valid
pg_init_privs | pg_init_privs_o_c_o_index | Unused | Valid
pg_language | pg_language_name_index | Unused | Valid
pg_language | pg_language_oid_index | Unused | Valid
pg_largeobject | pg_largeobject_loid_pn_index | Unused | Valid
pg_largeobject_metadata | pg_largeobject_metadata_oid_index | Unused | Valid
pg_namespace | pg_namespace_nspname_index | Unused | Valid
pg_namespace | pg_namespace_oid_index | Unused | Valid
pg_opclass | pg_opclass_am_name_nsp_index | Unused | Valid
pg_opclass | pg_opclass_oid_index | Unused | Valid
pg_operator | pg_operator_oid_index | Unused | Valid
pg_operator | pg_operator_oprname_l_r_n_index | Unused | Valid
pg_opfamily | pg_opfamily_am_name_nsp_index | Unused | Valid
pg_opfamily | pg_opfamily_oid_index | Unused | Valid
pg_partitioned_table | pg_partitioned_table_partrelid_index | Unused | Valid
pg_policy | pg_policy_oid_index | Unused | Valid
pg_policy | pg_policy_polrelid_polname_index | Unused | Valid
pg_proc | pg_proc_oid_index | Unused | Valid
pg_proc | pg_proc_proname_args_nsp_index | Unused | Valid
pg_publication | pg_publication_oid_index | Unused | Valid
pg_publication | pg_publication_pubname_index | Unused | Valid
pg_publication_rel | pg_publication_rel_oid_index | Unused | Valid
pg_publication_rel | pg_publication_rel_prrelid_prpubid_index | Unused | Valid
pg_range | pg_range_rngmultitypid_index | Unused | Valid
pg_range | pg_range_rngtypid_index | Unused | Valid
pg_replication_origin | pg_replication_origin_roiident_index | Unused | Valid
pg_replication_origin | pg_replication_origin_roname_index | Unused | Valid
pg_rewrite | pg_rewrite_oid_index | Unused | Valid
pg_rewrite | pg_rewrite_rel_rulename_index | Unused | Valid
pg_seclabel | pg_seclabel_object_index | Unused | Valid
pg_sequence | pg_sequence_seqrelid_index | Unused | Valid
pg_shdepend | pg_shdepend_depender_index | Unused | Valid
pg_shdepend | pg_shdepend_reference_index | Unused | Valid
pg_shdescription | pg_shdescription_o_c_index | Unused | Valid
pg_shseclabel | pg_shseclabel_object_index | Unused | Valid
pg_statistic | pg_statistic_relid_att_inh_index | Unused | Valid
pg_statistic_ext | pg_statistic_ext_name_index | Unused | Valid
pg_statistic_ext | pg_statistic_ext_oid_index | Unused | Valid
pg_statistic_ext | pg_statistic_ext_relid_index | Unused | Valid
pg_statistic_ext_data | pg_statistic_ext_data_stxoid_index | Unused | Valid
pg_subscription | pg_subscription_oid_index | Unused | Valid
pg_subscription | pg_subscription_subname_index | Unused | Valid
pg_subscription_rel | pg_subscription_rel_srrelid_srsubid_index | Unused | Valid
pg_tablespace | pg_tablespace_oid_index | Unused | Valid
pg_tablespace | pg_tablespace_spcname_index | Unused | Valid
pg_transform | pg_transform_oid_index | Unused | Valid
pg_transform | pg_transform_type_lang_index | Unused | Valid
pg_trigger | pg_trigger_oid_index | Unused | Valid
pg_trigger | pg_trigger_tgconstraint_index | Unused | Valid
pg_trigger | pg_trigger_tgrelid_tgname_index | Unused | Valid
pg_ts_config | pg_ts_config_cfgname_index | Unused | Valid
pg_ts_config | pg_ts_config_oid_index | Unused | Valid
pg_ts_config_map | pg_ts_config_map_index | Unused | Valid
pg_ts_dict | pg_ts_dict_dictname_index | Unused | Valid
pg_ts_dict | pg_ts_dict_oid_index | Unused | Valid
pg_ts_parser | pg_ts_parser_oid_index | Unused | Valid
pg_ts_parser | pg_ts_parser_prsname_index | Unused | Valid
pg_ts_template | pg_ts_template_oid_index | Unused | Valid
pg_ts_template | pg_ts_template_tmplname_index | Unused | Valid
pg_type | pg_type_oid_index | Unused | Valid
pg_type | pg_type_typname_nsp_index | Unused | Valid
pg_user_mapping | pg_user_mapping_oid_index | Unused | Valid
pg_user_mapping | pg_user_mapping_user_server_index | Unused | Valid
plans | eligible_plans_idx | Unused | Valid
plans | plans_pkey | Unused | Valid
plv8_js_modules | plv8_js_modules_pkey | Unused | Valid
psp_hcm401k_company_policy | psp_hcm401k_company_policy_fk1 | Unused | Valid
psp_hcm401k_company_policy | psp_hcm401k_company_policy_pkey | Unused | Valid
psp_hcm401k_company_qbdt_pitem | psp_hcm401k_company_qbdt_p_fk1 | Unused | Valid
psp_hcm401k_company_qbdt_pitem | psp_hcm401k_company_qbdt_pitem_pkey | Unused | Valid
psp_hcm401k_employee_deduction | psp_hcm401k_employee_deduc_fk1 | Unused | Valid
psp_hcm401k_employee_deduction | psp_hcm401k_employee_deduction_pkey | Unused | Valid
psp_hcm401k_policy | psp_hcm401k_policy_pkey | Unused | Valid
psp_qbdt_request_info | psp_qbdt_request_info_crdt | Unused | Valid
psp_qbdt_request_info | psp_qbdt_request_info_fk1 | Unused | Valid
