Healthcheck for psppdarc
Generated at 2026-02-19 09:35:56
================================================================================

## Total Connections

Username | Machine Name | Application Name | Total Connections Count
--------------------------------------------------------------------
None | None |  | 4
rdsadmin | None | PostgreSQL JDBC Driver | 3
intuadmin | None |  | 1
rdsadmin | None |  | 1

## Active Sessions

Username | Machine Name | Application Name | Active Sessions Count
------------------------------------------------------------------
intuadmin | None |  | 1

## Long-Running Queries

No long-running queries found.

## Database Size

Database Size: 129 MB

## Top 10 Largest Tables (Total Size)

Table Name | Total Size | Data Size | Index Size
------------------------------------------------
psp_company_event_detail_p3 | 11 MB | 7280 kB | 4144 kB
psp_company_event_detail_p2 | 10 MB | 7360 kB | 3232 kB
psp_company_event_detail_p5 | 10 MB | 7200 kB | 3160 kB
psp_company_event_detail_p0 | 10168 kB | 7072 kB | 3096 kB
psp_company_event_detail_p4 | 9944 kB | 6912 kB | 3032 kB
psp_company_event_p3 | 7824 kB | 3776 kB | 4048 kB
psp_company_event_p2 | 7024 kB | 3800 kB | 3224 kB
psp_company_event_p5 | 6864 kB | 3712 kB | 3152 kB
psp_company_event_p0 | 6752 kB | 3656 kB | 3096 kB
psp_company_event_p4 | 6600 kB | 3568 kB | 3032 kB

## Unused and Invalid Indexes

Table | Index | Status | Validity
---------------------------------
gg_heartbeat | gg_heartbeat_pkey | Unused | Valid
pg_aggregate | pg_aggregate_fnoid_index | Unused | Valid
pg_am | pg_am_name_index | Unused | Valid
pg_am | pg_am_oid_index | Unused | Valid
pg_amop | pg_amop_fam_strat_index | Unused | Valid
pg_amop | pg_amop_oid_index | Unused | Valid
pg_amop | pg_amop_opr_fam_index | Unused | Valid
pg_amproc | pg_amproc_fam_proc_index | Unused | Valid
pg_amproc | pg_amproc_oid_index | Unused | Valid
pg_attrdef | pg_attrdef_adrelid_adnum_index | Unused | Valid
pg_attrdef | pg_attrdef_oid_index | Unused | Valid
pg_attribute | pg_attribute_relid_attnam_index | Unused | Valid
pg_attribute | pg_attribute_relid_attnum_index | Unused | Valid
pg_auth_members | pg_auth_members_member_role_index | Unused | Valid
pg_auth_members | pg_auth_members_role_member_index | Unused | Valid
pg_authid | pg_authid_oid_index | Unused | Valid
pg_authid | pg_authid_rolname_index | Unused | Valid
pg_cast | pg_cast_oid_index | Unused | Valid
pg_cast | pg_cast_source_target_index | Unused | Valid
pg_class | pg_class_oid_index | Unused | Valid
pg_class | pg_class_relname_nsp_index | Unused | Valid
pg_class | pg_class_tblspc_relfilenode_index | Unused | Valid
pg_collation | pg_collation_name_enc_nsp_index | Unused | Valid
pg_collation | pg_collation_oid_index | Unused | Valid
pg_constraint | pg_constraint_conname_nsp_index | Unused | Valid
pg_constraint | pg_constraint_conparentid_index | Unused | Valid
pg_constraint | pg_constraint_conrelid_contypid_conname_index | Unused | Valid
pg_constraint | pg_constraint_contypid_index | Unused | Valid
pg_constraint | pg_constraint_oid_index | Unused | Valid
pg_conversion | pg_conversion_default_index | Unused | Valid
pg_conversion | pg_conversion_name_nsp_index | Unused | Valid
pg_conversion | pg_conversion_oid_index | Unused | Valid
pg_database | pg_database_datname_index | Unused | Valid
pg_database | pg_database_oid_index | Unused | Valid
pg_db_role_setting | pg_db_role_setting_databaseid_rol_index | Unused | Valid
pg_default_acl | pg_default_acl_oid_index | Unused | Valid
pg_default_acl | pg_default_acl_role_nsp_obj_index | Unused | Valid
pg_depend | pg_depend_depender_index | Unused | Valid
pg_depend | pg_depend_reference_index | Unused | Valid
pg_description | pg_description_o_c_o_index | Unused | Valid
pg_enum | pg_enum_oid_index | Unused | Valid
pg_enum | pg_enum_typid_label_index | Unused | Valid
pg_enum | pg_enum_typid_sortorder_index | Unused | Valid
pg_event_trigger | pg_event_trigger_evtname_index | Unused | Valid
pg_event_trigger | pg_event_trigger_oid_index | Unused | Valid
pg_extension | pg_extension_name_index | Unused | Valid
pg_extension | pg_extension_oid_index | Unused | Valid
pg_foreign_data_wrapper | pg_foreign_data_wrapper_name_index | Unused | Valid
pg_foreign_data_wrapper | pg_foreign_data_wrapper_oid_index | Unused | Valid
pg_foreign_server | pg_foreign_server_name_index | Unused | Valid
pg_foreign_server | pg_foreign_server_oid_index | Unused | Valid
pg_foreign_table | pg_foreign_table_relid_index | Unused | Valid
pg_index | pg_index_indexrelid_index | Unused | Valid
pg_index | pg_index_indrelid_index | Unused | Valid
pg_inherits | pg_inherits_parent_index | Unused | Valid
pg_inherits | pg_inherits_relid_seqno_index | Unused | Valid
pg_init_privs | pg_init_privs_o_c_o_index | Unused | Valid
pg_language | pg_language_name_index | Unused | Valid
pg_language | pg_language_oid_index | Unused | Valid
pg_largeobject | pg_largeobject_loid_pn_index | Unused | Valid
pg_largeobject_metadata | pg_largeobject_metadata_oid_index | Unused | Valid
pg_namespace | pg_namespace_nspname_index | Unused | Valid
pg_namespace | pg_namespace_oid_index | Unused | Valid
pg_opclass | pg_opclass_am_name_nsp_index | Unused | Valid
pg_opclass | pg_opclass_oid_index | Unused | Valid
pg_operator | pg_operator_oid_index | Unused | Valid
pg_operator | pg_operator_oprname_l_r_n_index | Unused | Valid
pg_opfamily | pg_opfamily_am_name_nsp_index | Unused | Valid
pg_opfamily | pg_opfamily_oid_index | Unused | Valid
pg_parameter_acl | pg_parameter_acl_oid_index | Unused | Valid
pg_parameter_acl | pg_parameter_acl_parname_index | Unused | Valid
pg_partitioned_table | pg_partitioned_table_partrelid_index | Unused | Valid
pg_policy | pg_policy_oid_index | Unused | Valid
pg_policy | pg_policy_polrelid_polname_index | Unused | Valid
pg_proc | pg_proc_oid_index | Unused | Valid
pg_proc | pg_proc_proname_args_nsp_index | Unused | Valid
pg_publication | pg_publication_oid_index | Unused | Valid
pg_publication | pg_publication_pubname_index | Unused | Valid
pg_publication_namespace | pg_publication_namespace_oid_index | Unused | Valid
pg_publication_namespace | pg_publication_namespace_pnnspid_pnpubid_index | Unused | Valid
pg_publication_rel | pg_publication_rel_oid_index | Unused | Valid
pg_publication_rel | pg_publication_rel_prpubid_index | Unused | Valid
pg_publication_rel | pg_publication_rel_prrelid_prpubid_index | Unused | Valid
pg_range | pg_range_rngmultitypid_index | Unused | Valid
pg_range | pg_range_rngtypid_index | Unused | Valid
pg_replication_origin | pg_replication_origin_roiident_index | Unused | Valid
pg_replication_origin | pg_replication_origin_roname_index | Unused | Valid
pg_rewrite | pg_rewrite_oid_index | Unused | Valid
pg_rewrite | pg_rewrite_rel_rulename_index | Unused | Valid
pg_seclabel | pg_seclabel_object_index | Unused | Valid
pg_sequence | pg_sequence_seqrelid_index | Unused | Valid
pg_shdepend | pg_shdepend_depender_index | Unused | Valid
pg_shdepend | pg_shdepend_reference_index | Unused | Valid
pg_shdescription | pg_shdescription_o_c_index | Unused | Valid
pg_shseclabel | pg_shseclabel_object_index | Unused | Valid
pg_statistic | pg_statistic_relid_att_inh_index | Unused | Valid
pg_statistic_ext | pg_statistic_ext_name_index | Unused | Valid
pg_statistic_ext | pg_statistic_ext_oid_index | Unused | Valid
pg_statistic_ext | pg_statistic_ext_relid_index | Unused | Valid
pg_statistic_ext_data | pg_statistic_ext_data_stxoid_inh_index | Unused | Valid
pg_subscription | pg_subscription_oid_index | Unused | Valid
pg_subscription | pg_subscription_subname_index | Unused | Valid
pg_subscription_rel | pg_subscription_rel_srrelid_srsubid_index | Unused | Valid
pg_tablespace | pg_tablespace_oid_index | Unused | Valid
pg_tablespace | pg_tablespace_spcname_index | Unused | Valid
pg_transform | pg_transform_oid_index | Unused | Valid
pg_transform | pg_transform_type_lang_index | Unused | Valid
pg_trigger | pg_trigger_oid_index | Unused | Valid
pg_trigger | pg_trigger_tgconstraint_index | Unused | Valid
