Healthcheck for psyspg01
Generated at 2026-02-19 09:02:50
================================================================================

## Total Connections

Username | Machine Name | Application Name | Total Connections Count
--------------------------------------------------------------------
sys_drc_app | None | PostgreSQL JDBC Driver | 40
pspapp | None | psp-adapter-deployment-5996cf67-pstpl | 25
pspapp | None | psp-qbdt-deployment-585c4765dd-hd4jr | 15
data_capture_role | None | PostgreSQL JDBC Driver | 10
pspapp | None | psp-sap-deployment-59f7657bbd-dl8k2 | 10
pspapp | None | parallelpod-postgres-684c547b7-l9njx | 7
None | None |  | 6
pspapp | None | report-job-svc-appd-rollout-86c6c8ff6-n2275 | 5
pspbatch_rw_user | None | psp-jss-monitor-deployment-b7597449c-mrwht | 5
pspbatch_rw_user | None | psp-jss-normal-deployment-6465476dfd-ghtk8 | 5
pspbatch_rw_user | None | psp-jss-high-deployment-ffbf5694f-b7g77 | 5
pspapp | None | desktop-pay-api-appd-rollout-696d9649c-sd5h7 | 5
pspapp | None | psp-appd-deployment-77676bdbc6-c727b | 5
rdsadmin | None | PostgreSQL JDBC Driver | 3
rdsadmin | None |  | 2
data_capture_role | None | Debezium General | 1
postgres | None |  | 1
rdsadmin | None | pg_cron scheduler | 1
data_capture_role | None | Debezium Streaming | 1

## Active Sessions

Username | Machine Name | Application Name | Active Sessions Count
------------------------------------------------------------------
data_capture_role | None | Debezium Streaming | 1
postgres | None |  | 1

## Long-Running Queries

PID | Duration | Query
----------------------
13032 | 0:43:38.123208 | START_REPLICATION SLOT "data_capture_outbox_slot_qal" LOGICAL 51/5137EA28 ("proto_version" '1', "publication_names" 'data_capture_outbox_publication_qal', "messages" 'true')

## Database Size

Database Size: 6444 MB

## Top 10 Largest Tables (Total Size)

Table Name | Total Size | Data Size | Index Size
------------------------------------------------
psp_entity_publish_bkp_feb28_2025 | 1471 MB | 1471 MB | 0 bytes
psp_outbox_bkp_feb28_2025 | 265 MB | 265 MB | 0 bytes
psp_company_event_detail_p6 | 198 MB | 109 MB | 89 MB
psp_company_event_detail_p3 | 192 MB | 106 MB | 86 MB
psp_company_event_detail_p7 | 191 MB | 105 MB | 86 MB
psp_company_event_detail_p4 | 187 MB | 103 MB | 85 MB
psp_company_event_detail_p2 | 185 MB | 102 MB | 83 MB
psp_company_event_detail_p0 | 185 MB | 101 MB | 83 MB
psp_company_event_detail_p5 | 183 MB | 100 MB | 82 MB
psp_company_event_detail_p1 | 180 MB | 99 MB | 81 MB

## Unused and Invalid Indexes

Table | Index | Status | Validity
---------------------------------
as400_dropme | as400_dropme_idx1 | Unused | Valid
custom_time_partitions | custom_time_partitions_partition_range_idx | Unused | Valid
custom_time_partitions | custom_time_partitions_pkey | Unused | Valid
gg_heartbeat | gg_heartbeat_pkey | Unused | Valid
outbox_heartbeat | outbox_heartbeat_pkey | Unused | Valid
part_config | part_config_type_idx | Unused | Valid
pg_aggregate | pg_aggregate_fnoid_index | Unused | Valid
pg_am | pg_am_name_index | Unused | Valid
