Healthcheck for sysapgib
Generated at 2026-02-19 07:39:12
================================================================================

## Total Connections

Username | Machine Name | Application Name | Total Connections Count
--------------------------------------------------------------------
ibob_sys_pspapp | None | psp-adapter-deployment-5996cf67-pstpl | 25
ibob_sys_pspapp | None | psp-qbdt-deployment-585c4765dd-2hfcs | 15
ibob_sys_pspapp | None | psp-sap-deployment-59f7657bbd-blnvd | 10
None | None |  | 6
ibob_sys_pspapp | None | psp-jss-normal-deployment-6465476dfd-mp8bq | 5
ibob_sys_pspapp | None | psp-jss-high-deployment-ffbf5694f-b7g77 | 5
ibob_sys_pspapp | None | psp-appd-deployment-77676bdbc6-c727b | 5
ibob_sys_pspapp | None | psp-jss-monitor-deployment-b7597449c-mrwht | 5
rdsproxyadmin | None |  | 4
rdsadmin | None | PostgreSQL JDBC Driver | 3
rdsadmin | None |  | 2
rdsadmin | None | pglogical supervisor | 1
rdsadmin | None | pg_cron scheduler | 1
postgres | None |  | 1

## Active Sessions

Username | Machine Name | Application Name | Active Sessions Count
------------------------------------------------------------------
postgres | None |  | 1

## Long-Running Queries

No long-running queries found.

## Database Size

Database Size: 21 MB

## Top 10 Largest Tables (Total Size)

Table Name | Total Size | Data Size | Index Size
------------------------------------------------
spatial_ref_sys | 7280 kB | 6976 kB | 304 kB
nls_parameters | 208 kB | 160 kB | 48 kB
plv8_js_modules | 112 kB | 96 kB | 16 kB
charset_mapping | 104 kB | 72 kB | 32 kB
iso_currency_list | 80 kB | 48 kB | 32 kB
format_models | 72 kB | 56 kB | 16 kB
mapped_error_codes | 72 kB | 56 kB | 16 kB
params | 64 kB | 48 kB | 16 kB
versions | 64 kB | 48 kB | 16 kB
plans | 56 kB | 24 kB | 32 kB

## Unused and Invalid Indexes

Table | Index | Status | Validity
---------------------------------
charset_mapping | charset_couple | Unused | Valid
charset_mapping | charset_id | Unused | Valid
context | pk_context | Unused | Valid
directory | pk_aws_directory | Unused | Valid
format_models | format_models_pk | Unused | Valid
iso_currency_list | iso_cur_code_pk | Unused | Valid
iso_currency_list | nls_iso_currency_uk | Unused | Valid
jobs | i_jobs_this_date | Unused | Valid
jobs | p_jobs | Unused | Valid
mail_messages | i_mail_messages_new | Unused | Valid
mail_messages | p_mail_messages | Unused | Valid
mapped_error_codes | p_mapped_error_codes | Unused | Valid
nls_parameters | aoe_nls_parameters_pk | Unused | Valid
nls_parameters | aoe_nls_territory_ux_idx | Unused | Valid
nls_parameters | aoe_nls_territory_win_idx | Unused | Valid
params | pk_params | Unused | Valid
pg_aggregate | pg_aggregate_fnoid_index | Unused | Valid
pg_am | pg_am_name_index | Unused | Valid
pg_am | pg_am_oid_index | Unused | Valid
pg_amop | pg_amop_fam_strat_index | Unused | Valid
pg_amop | pg_amop_oid_index | Unused | Valid
pg_amop | pg_amop_opr_fam_index | Unused | Valid
pg_amproc | pg_amproc_fam_proc_index | Unused | Valid
pg_amproc | pg_amproc_oid_index | Unused | Valid
pg_attrdef | pg_attrdef_adrelid_adnum_index | Unused | Valid
pg_attrdef | pg_attrdef_oid_index | Unused | Valid
pg_attribute | pg_attribute_relid_attnam_index | Unused | Valid
pg_attribute | pg_attribute_relid_attnum_index | Unused | Valid
pg_auth_members | pg_auth_members_member_role_index | Unused | Valid
pg_auth_members | pg_auth_members_role_member_index | Unused | Valid
pg_authid | pg_authid_oid_index | Unused | Valid
pg_authid | pg_authid_rolname_index | Unused | Valid
pg_cast | pg_cast_oid_index | Unused | Valid
pg_cast | pg_cast_source_target_index | Unused | Valid
pg_class | pg_class_oid_index | Unused | Valid
pg_class | pg_class_relname_nsp_index | Unused | Valid
pg_class | pg_class_tblspc_relfilenode_index | Unused | Valid
pg_collation | pg_collation_name_enc_nsp_index | Unused | Valid
pg_collation | pg_collation_oid_index | Unused | Valid
pg_constraint | pg_constraint_conname_nsp_index | Unused | Valid
pg_constraint | pg_constraint_conparentid_index | Unused | Valid
pg_constraint | pg_constraint_conrelid_contypid_conname_index | Unused | Valid
pg_constraint | pg_constraint_contypid_index | Unused | Valid
pg_constraint | pg_constraint_oid_index | Unused | Valid
pg_conversion | pg_conversion_default_index | Unused | Valid
pg_conversion | pg_conversion_name_nsp_index | Unused | Valid
pg_conversion | pg_conversion_oid_index | Unused | Valid
pg_database | pg_database_datname_index | Unused | Valid
pg_database | pg_database_oid_index | Unused | Valid
pg_db_role_setting | pg_db_role_setting_databaseid_rol_index | Unused | Valid
pg_default_acl | pg_default_acl_oid_index | Unused | Valid
pg_default_acl | pg_default_acl_role_nsp_obj_index | Unused | Valid
pg_depend | pg_depend_depender_index | Unused | Valid
pg_depend | pg_depend_reference_index | Unused | Valid
pg_description | pg_description_o_c_o_index | Unused | Valid
pg_enum | pg_enum_oid_index | Unused | Valid
pg_enum | pg_enum_typid_label_index | Unused | Valid
pg_enum | pg_enum_typid_sortorder_index | Unused | Valid
pg_event_trigger | pg_event_trigger_evtname_index | Unused | Valid
pg_event_trigger | pg_event_trigger_oid_index | Unused | Valid
pg_extension | pg_extension_name_index | Unused | Valid
pg_extension | pg_extension_oid_index | Unused | Valid
pg_foreign_data_wrapper | pg_foreign_data_wrapper_name_index | Unused | Valid
pg_foreign_data_wrapper | pg_foreign_data_wrapper_oid_index | Unused | Valid
pg_foreign_server | pg_foreign_server_name_index | Unused | Valid
pg_foreign_server | pg_foreign_server_oid_index | Unused | Valid
pg_foreign_table | pg_foreign_table_relid_index | Unused | Valid
pg_index | pg_index_indexrelid_index | Unused | Valid
pg_index | pg_index_indrelid_index | Unused | Valid
pg_inherits | pg_inherits_parent_index | Unused | Valid
pg_inherits | pg_inherits_relid_seqno_index | Unused | Valid
pg_init_privs | pg_init_privs_o_c_o_index | Unused | Valid
pg_language | pg_language_name_index | Unused | Valid
pg_language | pg_language_oid_index | Unused | Valid
pg_largeobject | pg_largeobject_loid_pn_index | Unused | Valid
pg_largeobject_metadata | pg_largeobject_metadata_oid_index | Unused | Valid
pg_namespace | pg_namespace_nspname_index | Unused | Valid
pg_namespace | pg_namespace_oid_index | Unused | Valid
pg_opclass | pg_opclass_am_name_nsp_index | Unused | Valid
pg_opclass | pg_opclass_oid_index | Unused | Valid
pg_operator | pg_operator_oid_index | Unused | Valid
pg_operator | pg_operator_oprname_l_r_n_index | Unused | Valid
pg_opfamily | pg_opfamily_am_name_nsp_index | Unused | Valid
pg_opfamily | pg_opfamily_oid_index | Unused | Valid
pg_partitioned_table | pg_partitioned_table_partrelid_index | Unused | Valid
pg_policy | pg_policy_oid_index | Unused | Valid
pg_policy | pg_policy_polrelid_polname_index | Unused | Valid
pg_proc | pg_proc_oid_index | Unused | Valid
pg_proc | pg_proc_proname_args_nsp_index | Unused | Valid
pg_publication | pg_publication_oid_index | Unused | Valid
pg_publication | pg_publication_pubname_index | Unused | Valid
pg_publication_rel | pg_publication_rel_oid_index | Unused | Valid
pg_publication_rel | pg_publication_rel_prrelid_prpubid_index | Unused | Valid
pg_range | pg_range_rngmultitypid_index | Unused | Valid
pg_range | pg_range_rngtypid_index | Unused | Valid
pg_replication_origin | pg_replication_origin_roiident_index | Unused | Valid
pg_replication_origin | pg_replication_origin_roname_index | Unused | Valid
pg_rewrite | pg_rewrite_oid_index | Unused | Valid
pg_rewrite | pg_rewrite_rel_rulename_index | Unused | Valid
pg_seclabel | pg_seclabel_object_index | Unused | Valid
pg_sequence | pg_sequence_seqrelid_index | Unused | Valid
pg_shdepend | pg_shdepend_depender_index | Unused | Valid
pg_shdepend | pg_shdepend_reference_index | Unused | Valid
pg_shdescription | pg_shdescription_o_c_index | Unused | Valid
pg_shseclabel | pg_shseclabel_object_index | Unused | Valid
pg_statistic | pg_statistic_relid_att_inh_index | Unused | Valid
pg_statistic_ext | pg_statistic_ext_name_index | Unused | Valid
pg_statistic_ext | pg_statistic_ext_oid_index | Unused | Valid
pg_statistic_ext | pg_statistic_ext_relid_index | Unused | Valid
pg_statistic_ext_data | pg_statistic_ext_data_stxoid_index | Unused | Valid
pg_subscription | pg_subscription_oid_index | Unused | Valid
pg_subscription | pg_subscription_subname_index | Unused | Valid
pg_subscription_rel | pg_subscription_rel_srrelid_srsubid_index | Unused | Valid
pg_tablespace | pg_tablespace_oid_index | Unused | Valid
pg_tablespace | pg_tablespace_spcname_index | Unused | Valid
pg_transform | pg_transform_oid_index | Unused | Valid
pg_transform | pg_transform_type_lang_index | Unused | Valid
pg_trigger | pg_trigger_oid_index | Unused | Valid
pg_trigger | pg_trigger_tgconstraint_index | Unused | Valid
pg_trigger | pg_trigger_tgrelid_tgname_index | Unused | Valid
pg_ts_config | pg_ts_config_cfgname_index | Unused | Valid
pg_ts_config | pg_ts_config_oid_index | Unused | Valid
pg_ts_config_map | pg_ts_config_map_index | Unused | Valid
pg_ts_dict | pg_ts_dict_dictname_index | Unused | Valid
pg_ts_dict | pg_ts_dict_oid_index | Unused | Valid
pg_ts_parser | pg_ts_parser_oid_index | Unused | Valid
pg_ts_parser | pg_ts_parser_prsname_index | Unused | Valid
pg_ts_template | pg_ts_template_oid_index | Unused | Valid
pg_ts_template | pg_ts_template_tmplname_index | Unused | Valid
pg_type | pg_type_oid_index | Unused | Valid
pg_type | pg_type_typname_nsp_index | Unused | Valid
pg_user_mapping | pg_user_mapping_oid_index | Unused | Valid
pg_user_mapping | pg_user_mapping_user_server_index | Unused | Valid
plans | eligible_plans_idx | Unused | Valid
plans | plans_pkey | Unused | Valid
plv8_js_modules | plv8_js_modules_pkey | Unused | Valid
service_settings | p_service_settings | Unused | Valid
spatial_ref_sys | spatial_ref_sys_pkey | Unused | Valid
sqs_functions_settings | pk_sqs_func_settings | Unused | Valid
sqs_queues_settings | pk_sqs_queues_settings | Unused | Valid
sqs_queues_tables | pk_sqs_queues_tables | Unused | Valid
sqs_queues_tables | unq_sqs_queues_tables | Unused | Valid
versions | pk_versions_component_name | Unused | Valid

## Top 10 Tables by Bloat

Table Name | Total Size (GB) | Bloat Size (GB) | Bloat Percentage
-----------------------------------------------------------------
aws_oracle_ext.iso_currency_list | 0.00 | 0.00 | 40.00
public.spatial_ref_sys | 0.01 | 0.00 | 4.18
aws_oracle_ext.format_models | 0.00 | 0.00 | 22.22
aws_oracle_ext.service_settings | 0.00 | 0.00 | 50.00
aws_oracle_ext.sqs_functions_settings | 0.00 | 0.00 | 50.00
aws_oracle_ext.sqs_queues_tables | 0.00 | 0.00 | 66.67
aws_oracle_ext.directory | 0.00 | 0.00 | 50.00
aws_oracle_context.context | 0.00 | 0.00 | 100.00
aws_oracle_ext.charset_mapping | 0.00 | 0.00 | 30.77
aws_oracle_context.params | 0.00 | 0.00 | 25.00

## Replication Status

No replication data found.

## Tables with Dead Tuples > 500k

No dead tuples above threshold found.

## Vacuum Progress

No vacuum operations in progress.

## Tables Not Vacuumed in Last 15 Days

Table | Table Size | Live Tuples | Dead Tuples | Last Vacuum | Days Since Last Vacuum | Days Since Last Autovacuum | Table Size (GB)
------------------------------------------------------------------------------------------------------------------------------------
aws_oracle_ext_session_local_tz | 0.00 | 0.0 | 0.0 | None | 2025-12-13 18:25:39.978340-08:00 | None | 64 days, 5:34:20.021660
charset_mapping | 0.00 | 230.0 | 230.0 | None | 2025-12-13 18:25:40.489048-08:00 | None | 64 days, 5:34:19.510952
context | 0.00 | 0.0 | 0.0 | None | 2025-12-13 18:41:38.412538-08:00 | None | 64 days, 5:18:21.587462
directory | 0.00 | 0.0 | 0.0 | None | 2025-12-13 18:40:10.781740-08:00 | None | 64 days, 5:19:49.218260
format_models | 0.00 | 238.0 | 238.0 | None | 2025-12-13 18:25:57.996207-08:00 | None | 64 days, 5:34:02.003793
iso_currency_list | 0.00 | 161.0 | 161.0 | None | 2025-12-13 18:25:31.981018-08:00 | None | 64 days, 5:34:28.018982
jobs | 0.00 | 0.0 | 0.0 | None | 2025-12-13 18:25:45.985119-08:00 | None | 64 days, 5:34:14.014881
mail_messages | 0.00 | 0.0 | 0.0 | None | 2025-12-13 18:25:51.989740-08:00 | None | 64 days, 5:34:08.010260
mapped_error_codes | 0.00 | 64.0 | 64.0 | None | 2025-12-13 18:25:55.994099-08:00 | None | 64 days, 5:34:04.005901
nls_parameters | 0.00 | 155.0 | 155.0 | None | 2025-12-13 18:26:00.503454-08:00 | None | 64 days, 5:33:59.496546
params | 0.00 | 2.0 | 2.0 | None | 2025-12-13 18:41:35.996385-08:00 | None | 64 days, 5:18:24.003615
plans | 0.00 | 0.0 | 0.0 | None | 2025-12-13 10:07:40.069880-08:00 | None | 64 days, 13:52:19.930120
plv8_js_modules | 0.00 | 5.0 | 5.0 | None | 2025-12-13 18:23:52.442962-08:00 | None | 64 days, 5:36:07.557038
service_settings | 0.00 | 0.0 | 0.0 | None | 2025-12-13 18:26:03.994821-08:00 | None | 64 days, 5:33:56.005179
spatial_ref_sys | 0.00 | 8500.0 | 8500.0 | None | 2025-12-13 18:23:48.557340-08:00 | None | 64 days, 5:36:11.442660
sqs_functions_settings | 0.00 | 0.0 | 0.0 | None | 2025-12-13 18:38:55.264071-08:00 | None | 64 days, 5:21:04.735929
sqs_queues_settings | 0.00 | 0.0 | 0.0 | None | 2025-12-13 18:38:56.266564-08:00 | None | 64 days, 5:21:03.733436
sqs_queues_tables | 0.00 | 0.0 | 0.0 | None | 2025-12-13 18:38:55.766928-08:00 | None | 64 days, 5:21:04.233072
versions | 0.00 | 1.0 | 1.0 | None | 2025-12-13 18:26:04.998311-08:00 | None | 64 days, 5:33:55.001689

