SQL> select trigger_name,status from dba_triggers where owner='PSPADM';

TRIGGER_NAME					   STATUS
-------------------------------------------------- ------------------------------
PSP_COMPANY_PAYROLL_ITEM_AT			   ENABLED
PSP_CMPMTMPLT_PMTMTD_AT 			   ENABLED
PSP_QUICKBOOKS_INFO_AT				   ENABLED
PSP_ADDRESS_AT					   ENABLED
TR_UPD_COMPANY_EVNT_TIMESTAMP			   DISABLED
PSP_ENTITY_CHANGE_AT				   ENABLED
TR_UPD_INTUIT_TAX_BANK_ACCT			   DISABLED
PSP_COMPANY_BANK_ACCOUNT_AT			   ENABLED
PSP_BPCOMPANY_SERVICE_INFO_AT			   ENABLED
PSP_COMPANY_AT					   ENABLED
PSP_DDCOMPANY_SERVICE_INFO_AT			   ENABLED
PSP_EMPLOYEE_AT 				   ENABLED
PSP_COMPANY_LAW_AT				   ENABLED
PSP_INDIVIDUAL_AT				   ENABLED
PSP_TAX_PENALTY_INTEREST_AT			   ENABLED
TR_UPD_COMPANY_EVENT_TIMESTAMP			   ENABLED
TR_UPD_DD_LIMITS				   ENABLED
PSP_COMPANY_AGENCY_AT				   ENABLED
PSP_CMPNYAGENCY_PMTTPLT_AT			   ENABLED
PSP_COMPANY_OFFER_AT				   ENABLED
PSP_TAX_CS_INFO_AT				   ENABLED
PSP_COMPANY_SERVICE_AT				   ENABLED
PSP_CONTACT_AT					   ENABLED
PSP_MONEY_MVMT_TRANS_AT 			   ENABLED

24 rows selected.


