pspapg02=> \i pg_size_cat.sql
      nspname       |  size  
--------------------+--------
 pg_catalog         | 233 MB
 information_schema | 88 kB
(2 rows)

                    relname                     |      nspname       |            size            
------------------------------------------------+--------------------+----------------------------
 pg_type                                        | pg_catalog         |     0.04671478271484375000
 pg_attribute_relid_attnam_index                | pg_catalog         |     0.04436492919921875000
 pg_attribute_relid_attnum_index                | pg_catalog         |     0.02777099609375000000
 pg_statistic                                   | pg_catalog         |     0.02747344970703125000
 pg_inherits                                    | pg_catalog         |     0.01621246337890625000
 pg_depend_depender_index                       | pg_catalog         |     0.01158142089843750000
 pg_type_oid_index                              | pg_catalog         |     0.00834655761718750000
 pg_attribute                                   | pg_catalog         |     0.00797271728515625000
 pg_depend_reference_index                      | pg_catalog         |     0.00616455078125000000
 pg_shdepend                                    | pg_catalog         |     0.00555419921875000000
 pg_shdepend_depender_index                     | pg_catalog         |     0.00489044189453125000
 pg_class_relname_nsp_index                     | pg_catalog         |     0.00311279296875000000
 pg_depend                                      | pg_catalog         |     0.00261688232421875000
 pg_class                                       | pg_catalog         |     0.00190734863281250000
 pg_constraint                                  | pg_catalog         |     0.00151062011718750000
 pg_shdepend_reference_index                    | pg_catalog         |     0.00132751464843750000
 pg_index                                       | pg_catalog         |     0.00086212158203125000
 pg_proc                                        | pg_catalog         |     0.00085449218750000000
 pg_statistic_relid_att_inh_index               | pg_catalog         |     0.00073242187500000000
 pg_trigger                                     | pg_catalog         |     0.00072479248046875000
 pg_class_tblspc_relfilenode_index              | pg_catalog         |     0.00070953369140625000
 pg_trigger_tgrelid_tgname_index                | pg_catalog         |     0.00057220458984375000
 pg_constraint_conrelid_contypid_conname_index  | pg_catalog         |     0.00035095214843750000
 pg_description                                 | pg_catalog         |     0.00033569335937500000
 pg_attrdef                                     | pg_catalog         |     0.00030517578125000000
 pg_proc_proname_args_nsp_index                 | pg_catalog         |     0.00027465820312500000
 pg_index_indexrelid_index                      | pg_catalog         |     0.00027465820312500000
 pg_collation                                   | pg_catalog         |     0.00025177001953125000
 pg_class_oid_index                             | pg_catalog         |     0.00024414062500000000
 pg_type_typname_nsp_index                      | pg_catalog         |     0.00024414062500000000
 pg_constraint_conname_nsp_index                | pg_catalog         |     0.00022888183593750000
 pg_description_o_c_o_index                     | pg_catalog         |     0.00021362304687500000
 pg_index_indrelid_index                        | pg_catalog         |     0.00020599365234375000
 pg_trigger_oid_index                           | pg_catalog         |     0.00017547607421875000
 pg_trigger_tgconstraint_index                  | pg_catalog         |     0.00013732910156250000
 pg_inherits_relid_seqno_index                  | pg_catalog         |     0.00011444091796875000
 pg_rewrite                                     | pg_catalog         |     0.00011444091796875000
 pg_collation_name_enc_nsp_index                | pg_catalog         |     0.00010681152343750000
 pg_constraint_oid_index                        | pg_catalog         |     0.00010681152343750000
 pg_operator                                    | pg_catalog         |     0.00010681152343750000
 pg_proc_oid_index                              | pg_catalog         | 0.000091552734375000000000
 pg_inherits_parent_index                       | pg_catalog         | 0.000061035156250000000000
 sql_features                                   | information_schema | 0.000061035156250000000000
 pg_collation_oid_index                         | pg_catalog         | 0.000053405761718750000000
