psql:chk_aud_clob_size.sql:1: error: invalid command \timing;
   count    
------------
 1259238784
(1 row)

 ?column? 
----------
      262
(1 row)

 ?column? 
----------
      181
(1 row)

 ?column? |   count    
----------+------------
        0 | 1258485559
        1 |     509109
        2 |      98908
        3 |      30785
        4 |      12217
        5 |       6816
        6 |       4105
        7 |       2341
        8 |       1785
        9 |       1204
       10 |        978
       11 |        689
       12 |        523
       13 |        536
       14 |        410
       15 |        357
       16 |        248
       17 |        240
       18 |        180
       19 |        158
       20 |        149
       21 |        143
       22 |        101
       23 |        127
       24 |         76
       25 |         98
       26 |         70
       27 |         48
       28 |         50
       29 |         51
(30 rows)

 ?column? | count 
----------+-------
       30 |    62
       31 |    34
       32 |    48
       33 |    35
       34 |    24
       35 |    14
       36 |    34
       37 |    35
       38 |    22
       39 |    28
       40 |    20
       41 |    19
       42 |    21
       43 |    13
       44 |    16
       45 |    12
       46 |    19
       47 |    18
       48 |    10
       49 |     8
       50 |     8
       51 |     9
       52 |     5
       53 |    10
       54 |     5
       55 |     2
       56 |     1
       57 |     9
       58 |     2
       59 |     6
       60 |     1
       61 |     9
       62 |     5
       63 |     5
       64 |     1
       65 |     2
       66 |     1
       67 |     4
       68 |     4
       71 |     1
       72 |     5
       73 |     9
       75 |     1
       77 |     2
       78 |     2
       79 |     1
       80 |     3
       81 |     2
       83 |     2
       84 |     2
       85 |     1
       86 |     2
       87 |     4
       89 |     1
       90 |     4
       91 |     2
       93 |     1
       94 |     4
       97 |     3
       99 |     2
(60 rows)

 ?column? | count 
----------+-------
      101 |     1
      103 |     1
      109 |     1
      110 |     6
      114 |     1
      115 |     1
      181 |     1
(7 rows)

 ?column? |   count    
----------+------------
        0 | 1256446275
        1 |      85560
        2 |      25419
        3 |      11044
        4 |       5930
        5 |       3750
        6 |       2805
        7 |       2016
        8 |       1632
        9 |       1347
       10 |        987
       11 |        923
       12 |        811
       13 |        682
       14 |        735
       15 |        577
       16 |        523
       17 |        455
       18 |        511
       19 |        389
       20 |        345
       21 |        605
       22 |        334
       23 |        304
       24 |        269
       25 |        340
       26 |        202
       27 |        230
       28 |        163
       29 |        414
(30 rows)

 ?column? | count 
----------+-------
       30 |   252
       31 |   214
       32 |   204
       33 |    81
       34 |   243
       35 |   419
       36 |   264
       37 |    81
       38 |   310
       39 |   335
       40 |    90
       41 |   164
       42 |    59
       43 |    85
       44 |    25
       45 |    60
       46 |    45
       47 |   129
       48 |    59
       49 |    30
       50 |    86
       51 |    53
       52 |   128
       53 |    63
       54 |    79
       55 |    71
       56 |    43
       57 |    99
       58 |    43
       59 |    15
       60 |    27
       61 |    37
       62 |   164
       63 |    93
       64 |    22
       65 |   171
       66 |   156
       67 |    62
       68 |    20
       69 |    66
       70 |   124
       71 |   108
       72 |    10
       73 |    29
       74 |    64
       75 |   395
       76 |   107
       77 |    73
       78 |   131
       79 |    36
       80 |    59
       81 |    11
       82 |    79
       84 |    26
       85 |   127
       86 |    19
       87 |   100
       88 |    62
       89 |     9
       90 |    33
       91 |   210
       92 |    34
       93 |    28
       94 |     1
       95 |    95
       96 |     5
       97 |    16
       98 |    25
       99 |    14
      100 |    59
(70 rows)

 ?column? | count 
----------+-------
      101 |    23
      102 |    95
      103 |    55
      104 |    15
      105 |    50
      106 |     2
      107 |     6
      109 |    72
      110 |    26
      111 |    37
      112 |    58
      113 |     3
      114 |     4
      115 |    44
      116 |    33
      117 |     1
      118 |    20
      119 |    15
      120 |   162
      121 |    52
      122 |    53
      123 |   208
      124 |    33
      125 |    57
      126 |    54
      128 |    66
      130 |    31
      131 |    45
      133 |     4
      135 |     7
      137 |    26
      139 |     3
      140 |    81
      142 |    18
      146 |    40
      148 |     2
      149 |    12
      150 |     1
      151 |   101
      153 |    20
      155 |    25
      160 |    60
      161 |    12
      162 |    19
      165 |    27
      167 |     9
      168 |    13
      169 |    26
      170 |    17
      171 |    19
      172 |     2
      173 |    29
      174 |    59
      176 |    17
      178 |     4
      180 |     2
      183 |     1
      184 |    53
      186 |    39
      189 |     7
      191 |    29
      193 |    35
      194 |     2
      196 |    68
      198 |    59
      199 |     2
      200 |     9
      202 |     9
      205 |    16
      216 |     8
      243 |     7
      262 |    31
(72 rows)

